impl,procs,size,time,threads
OMP,9,200,0.03476897,1
OMP,9,300,0.07639540,1
OMP,9,400,0.14064617,1
OMP,9,500,0.20913459,1
OMP,9,600,0.33891627,1
OMP,9,700,0.59470099,1
OMP,9,800,1.03939032,1
OMP,9,900,1.04706298,1
OMP,9,1000,1.37490667,1
OMP,9,2000,9.18262620,1
OMP,9,3000,30.15523031,1
OMP,9,100,0.01303764,2
OMP,9,200,0.02975626,2
OMP,9,300,0.06435199,2
OMP,9,400,0.20305203,2
OMP,9,500,0.24719841,2
OMP,9,600,0.31447527,2
OMP,9,700,0.40474792,2
OMP,9,800,1.28740916,2
OMP,9,900,0.71239117,2
OMP,9,1000,1.21376156,2
OMP,9,2000,5.24961762,2
OMP,9,3000,16.33839567,2
OMP,9,100,0.04152655,3
OMP,9,200,0.02609903,3
OMP,9,300,0.06086237,3
OMP,9,400,0.09333649,3
OMP,9,500,0.13002232,3
OMP,9,600,0.22299675,3
OMP,9,700,0.36798577,3
OMP,9,800,1.44099828,3
OMP,9,900,0.59379803,3
OMP,9,1000,1.36605144,3
OMP,9,2000,3.66440621,3
OMP,9,3000,12.29622093,3
OMP,9,100,0.04459072,4
OMP,9,200,0.02636495,4
OMP,9,300,0.08111090,4
OMP,9,400,0.10058158,4
OMP,9,500,0.12487602,4
OMP,9,600,0.17228795,4
OMP,9,700,0.25977772,4
OMP,9,800,1.66562543,4
OMP,9,900,0.50133755,4
OMP,9,1000,1.42829876,4
OMP,9,2000,3.22479486,4
OMP,9,3000,10.88413228,4
OMP,10,100,0.18031919,1
OMP,10,200,0.03796535,1
OMP,10,300,0.08155753,1
OMP,10,400,0.14051450,1
OMP,10,500,0.19802380,1
OMP,10,600,0.31151838,1
OMP,10,700,0.45108015,1
OMP,10,800,0.76688168,1
OMP,10,900,1.02615929,1
OMP,10,1000,1.38588959,1
OMP,10,2000,8.36164719,1
OMP,10,3000,27.26483696,1
OMP,10,100,0.02828396,2
OMP,10,200,0.03471733,2
OMP,10,300,0.08079376,2
OMP,10,400,0.11030248,2
OMP,10,500,0.15648271,2
OMP,10,600,0.21101960,2
OMP,10,700,0.31075579,2
OMP,10,800,1.29163324,2
OMP,10,900,0.65045403,2
OMP,10,1000,1.35256709,2
OMP,10,2000,4.69034304,2
OMP,10,3000,14.52657093,2
OMP,10,100,0.01410905,3
OMP,10,200,0.03021723,3
OMP,10,300,0.06117209,3
OMP,10,400,0.08670314,3
OMP,10,500,0.12606484,3
OMP,10,600,0.17263392,3
OMP,10,700,0.24485093,3
OMP,10,800,1.34759106,3
OMP,10,900,0.53807009,3
OMP,10,1000,1.13105170,3
OMP,10,2000,3.64869989,3
OMP,10,3000,10.65639413,3
OMP,10,100,0.04365455,4
OMP,10,200,0.07431515,4
OMP,10,300,0.15337260,4
OMP,10,400,0.20357950,4
OMP,10,500,0.23472401,4
OMP,10,600,0.21963166,4
OMP,10,700,0.21053294,4
OMP,10,800,1.22513117,4
OMP,10,900,0.50100898,4
OMP,10,1000,1.23170292,4
OMP,10,2000,2.93867109,4
